entry_time,exit_time,direction,entry_px,exit_px,exit_reason,gross_pts,cost_pts,net_pts,net_krw,size_factor,exit_date,entry_close,entry_high,entry_low,entry_volume,exit_close,exit_high,exit_low,exit_volume,year,entry_rsi,entry_macd,entry_macd_signal,entry_macd_hist,entry_atr,entry_supertrend,entry_supertrend_dir,entry_ma5,entry_ma10,entry_ma20,entry_ma60,entry_bb_upper,entry_bb_lower,entry_bb_middle,atr_normalized,volatility_regime,trend_regime,momentum_regime,is_win,entry_hour,entry_dayofweek,entry_month
2019-06-03 10:50:00,2019-06-03 11:15:00,1,266.7,265.95,pivot,-0.75,0.11597950000000001,-0.8659795,-27278.35425,1.0,2019-06-03,266.7,266.75,266.6,0.0,266.05,266.1,265.8,0.0,2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,10,0,6
2019-06-03 11:15:00,2019-06-03 12:05:00,-1,265.95,266.25,pivot,-0.30000000000001137,0.11596600000000001,-0.4159660000000114,-13102.929000000358,1.0,2019-06-03,266.05,266.1,265.8,0.0,266.0,266.25,265.95,0.0,2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,11,0,6
2019-06-03 12:05:00,2019-06-03 15:45:00,1,266.25,268.25,eod,2.0,0.116035,1.883965,59344.8975,1.0,2019-06-03,266.0,266.25,265.95,0.0,268.25,268.25,268.25,0.0,2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1,12,0,6
2019-06-04 11:45:00,2019-06-04 12:25:00,1,267.2,267.75,pivot,0.5500000000000114,0.1160485,0.4339515000000114,13669.472250000359,1.0,2019-06-04,267.15,267.2,267.1,0.0,267.75,267.75,267.7,0.0,2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1,11,1,6
2019-06-04 12:25:00,2019-06-04 14:55:00,1,267.75,267.8,pivot,0.05000000000001137,0.1160665,-0.06606649999998863,-2081.094749999642,1.0,2019-06-04,267.75,267.75,267.7,0.0,267.9,267.9,267.8,0.0,2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,12,1,6
2019-06-04 14:55:00,2019-06-04 15:45:00,-1,267.8,267.15,eod,0.6500000000000341,0.1160485,0.5339515000000341,16819.472250001076,1.0,2019-06-04,267.9,267.9,267.8,0.0,267.15,267.15,267.15,0.0,2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1,14,1,6
2019-06-05 11:10:00,2019-06-05 11:40:00,1,269.3,268.8,pivot,-0.5,0.11614300000000001,-0.616143,-19408.5045,1.0,2019-06-05,269.2,269.3,269.2,0.0,268.75,268.8,268.6,0.0,2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,11,2,6
2019-06-05 11:40:00,2019-06-05 15:45:00,-1,268.8,268.15,eod,0.6500000000000341,0.1161085,0.5338915000000342,16817.582250001076,1.0,2019-06-05,268.75,268.8,268.6,0.0,268.15,268.15,268.15,0.0,2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1,11,2,6
2019-06-07 10:55:00,2019-06-07 13:25:00,1,268.85,269.0,pivot,0.14999999999997726,0.1161355,0.03386449999997726,1066.7317499992837,1.0,2019-06-07,269.1,269.15,268.8,0.0,269.15,269.2,269.0,0.0,2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1,10,4,6
2019-06-07 13:25:00,2019-06-07 13:35:00,-1,269.0,269.3,pivot,-0.30000000000001137,0.116149,-0.41614900000001137,-13108.693500000358,1.0,2019-06-07,269.15,269.2,269.0,0.0,269.15,269.3,269.15,0.0,2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,13,4,6
2019-06-07 13:35:00,2019-06-07 15:20:00,-1,269.3,267.9,pivot,1.400000000000034,0.11611600000000001,1.2838840000000342,40442.346000001075,1.0,2019-06-07,269.15,269.3,269.15,0.0,267.95,268.05,267.75,0.0,2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1,13,4,6
2019-06-07 15:20:00,2019-06-07 15:30:00,1,267.9,267.95,pivot,0.05000000000001137,0.1160755,-0.06607549999998863,-2081.378249999642,1.0,2019-06-07,267.95,268.05,267.75,0.0,268.0,268.25,267.95,0.0,2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,15,4,6
2019-06-07 15:30:00,2019-06-07 15:45:00,1,267.95,267.7,eod,-0.25,0.1160695,-0.3660695,-11531.18925,1.0,2019-06-07,268.0,268.25,267.95,0.0,267.7,267.7,267.7,0.0,2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,15,4,6
2019-06-10 10:55:00,2019-06-10 11:00:00,1,269.55,269.9,pivot,0.3499999999999659,0.11618350000000001,0.2338164999999659,7365.219749998926,1.0,2019-06-10,269.85,269.85,269.55,0.0,269.9,269.95,269.65,0.0,2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1,10,0,6
2019-06-10 11:00:00,2019-06-10 12:40:00,1,269.9,270.95,pivot,1.0500000000000114,0.11622550000000001,0.9337745000000114,29413.89675000036,1.0,2019-06-10,269.9,269.95,269.65,0.0,271.2,271.2,270.95,0.0,2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1,11,0,6
