entry_time,exit_time,direction,entry_px,exit_px,exit_reason,gross_pts,cost_pts,net_pts,net_krw,size_factor,exit_date,entry_close,entry_high,entry_low,entry_volume,exit_close,exit_high,exit_low,exit_volume,regime,year,entry_rsi,entry_macd,entry_macd_signal,entry_macd_hist,entry_atr,entry_supertrend,entry_supertrend_dir,entry_ma20,entry_ma60,entry_bb_upper,entry_bb_lower,entry_bb_middle,is_win,entry_hour,entry_dayofweek,entry_month,win_probability,entry_quality_score,exit_quality_score
2019-11-14 14:15:00,2019-11-14 15:45:00,1,282.7,282.95,eod,0.25,0.1169695,0.1330305,4190.46075,1.0,2019-11-14,282.85,283.0,282.65,0.0,282.95,283.0,282.85,0.0,1.0,2019,71.99999999999946,0.1223309891186659,0.0868823221625783,0.0354486669560876,0.2178571428571355,272.575,-1.0,282.505,282.30083333333334,282.84973483287854,282.16026516712145,282.505,1,14,3,11,0.52850467,0.6349227992961829,0.8895406
2019-11-26 10:05:00,2019-11-26 14:05:00,1,283.9,285.05,pivot,1.150000000000034,0.1170685,1.032931500000034,32537.342250001075,1.0,2019-11-26,283.6,283.9,283.5,0.0,284.95,285.05,284.9,0.0,1.0,2019,59.09090909090914,0.2970329310839474,0.2368765275160786,0.0601564035678688,0.4928571428571452,285.0232142857143,1.0,283.3375,283.06416666666667,284.45288287018207,282.2221171298179,283.3375,1,10,1,11,0.5495667,0.5171886106670086,0.8892026
2019-12-09 09:15:00,2019-12-09 13:30:00,1,277.6,278.0,eod,0.3999999999999772,0.116668,0.2833319999999772,8924.957999999284,1.0,2019-12-09,277.45,277.75,277.4,0.0,278.0,278.0,277.85,0.0,1.0,2019,66.66666666666666,0.2853672081973855,0.1943249129015639,0.0910422952958215,0.4428571428571542,285.5232142857143,1.0,276.7575,276.5,277.82337004238843,275.69162995761155,276.7575,1,9,0,12,0.60417306,0.5556481981959668,0.88991976
2019-12-26 15:15:00,2019-12-26 15:45:00,1,290.85,291.5,eod,0.6499999999999773,0.1174705,0.5325294999999772,16774.679249999284,1.0,2019-12-26,290.75,290.85,290.7,0.0,291.5,291.5,291.5,0.0,1.0,2019,65.62499999999977,0.180587243865375,0.1260365771380582,0.0545506667273168,0.2214285714285811,293.88928571428573,1.0,290.3375,290.1308333333333,291.02565160472244,289.6493483952775,290.3375,1,15,3,12,0.5049608,0.5514697005926462,0.8905565
2020-01-16 14:55:00,2020-01-16 15:45:00,1,302.9,303.15,eod,0.25,0.1181815,0.1318185,4152.28275,1.0,2020-01-16,302.85,303.05,302.75,0.0,303.15,303.15,303.15,0.0,1.0,2020,78.00000000000259,0.3968303187018023,0.3187848618096131,0.0780454568921891,0.3357142857142849,304.5375,1.0,302.05,301.415,303.17577458716283,300.9242254128372,302.05,1,14,3,1,0.5786121,0.554949685918524,0.8921196
2020-02-04 10:10:00,2020-02-04 12:45:00,1,287.85,290.25,pivot,2.3999999999999773,0.117343,2.2826569999999773,71903.69549999929,1.0,2020-02-04,288.55,288.6,287.55,0.0,290.4,290.45,290.15,0.0,1.0,2020,66.38655462184836,0.7033138807473165,0.6150312065014968,0.0882826742458197,0.8035714285714326,308.29821428571427,1.0,286.8275,285.48999999999995,288.9086117979914,284.7463882020086,286.8275,1,10,1,2,0.59011966,0.6057985519095146,0.8932637
2020-02-06 14:00:00,2020-02-06 15:45:00,1,299.65,301.4,eod,1.75,0.1180315,1.6319685,51407.00775,1.0,2020-02-06,299.85,299.95,299.6,0.0,301.4,301.4,301.4,0.0,1.0,2020,89.99999999999818,0.626683410926546,0.5575902903300252,0.0690931205965208,0.3642857142857118,308.29821428571427,1.0,298.71750000000003,297.4941666666666,300.2610008056109,297.1739991943892,298.71750000000003,1,14,3,2,0.6307201,0.5675301702960152,0.89360464
2020-02-12 13:10:00,2020-02-12 15:45:00,1,300.5,301.85,eod,1.3500000000000227,0.1180705,1.2319295000000228,38805.77925000072,1.0,2020-02-12,300.25,300.5,300.1,0.0,301.85,301.85,301.85,0.0,1.0,2020,73.52941176470638,0.2673273336243369,0.2037517841770567,0.0635755494472802,0.2642857142857175,308.29821428571427,1.0,299.7875,299.5733333333334,300.79477616037326,298.7802238396268,299.7875,1,13,2,2,0.50129443,0.5999495041997569,0.89378375
2020-03-16 09:05:00,2020-03-16 09:40:00,1,240.3,240.7,pivot,0.3999999999999772,0.11443,0.2855699999999772,8995.454999999283,1.0,2020-03-16,235.45,240.45,234.75,0.0,238.75,240.7,238.7,0.0,1.0,2020,24.299065420560765,0.6925569611667868,1.422764422827494,-0.7302074616607073,2.128571428571425,308.29821428571427,1.0,241.0675,234.6233333333333,245.3575466196588,236.77745338034111,241.0675,1,9,0,3,0.56565195,0.5641130737751932,0.89389944
2020-03-16 09:40:00,2020-03-16 11:15:00,1,240.7,238.75,pivot,-1.9499999999999889,0.1143835,-2.064383499999989,-65028.08024999965,1.0,2020-03-16,238.75,240.7,238.7,0.0,238.75,238.8,238.25,0.0,1.0,2020,48.5632183908046,0.358640526460988,0.5748491243976559,-0.2162085979366679,2.321428571428567,308.29821428571427,1.0,239.6925,235.7658333333333,242.9416739839168,236.4433260160832,239.6925,0,9,0,3,0.5425441,0.512786483349307,0.89351773
2020-03-20 09:45:00,2020-03-20 11:25:00,1,202.1,208.3,pivot,6.200000000000017,0.112312,6.087688000000017,191762.1720000005,1.0,2020-03-20,201.7,202.15,201.2,0.0,207.85,208.4,207.3,0.0,1.0,2020,54.21686746987952,0.7232562666395665,0.5486335354804182,0.1746227311591484,2.221428571428569,308.29821428571427,1.0,200.575,200.25166666666664,205.54136052255328,195.6086394774467,200.575,1,9,4,3,0.5715316,0.5814371074608743,0.8928224
2020-03-20 12:15:00,2020-03-20 13:30:00,1,205.95,208.2,pivot,2.25,0.1124245,2.1375755,67333.62825000001,1.0,2020-03-20,206.15,206.85,205.75,0.0,208.45,208.65,207.75,0.0,1.0,2020,52.07100591715973,0.7177430412899639,1.00900778959853,-0.2912647483085659,1.25,308.29821428571427,1.0,206.115,202.60166666666663,208.6277255066336,203.6022744933664,206.115,1,12,4,3,0.54947716,0.6336344836340281,0.8920538
2020-03-20 13:30:00,2020-03-20 14:40:00,1,208.2,208.25,pivot,0.0500000000000113,0.1124935,-0.0624934999999886,-1968.5452499996425,1.0,2020-03-20,208.45,208.65,207.75,0.0,208.1,208.55,207.9,0.0,1.0,2020,75.8928571428571,0.6513418342383943,0.4917613461543049,0.1595804880840894,0.7571428571428588,308.29821428571427,1.0,206.3425,204.51916666666665,208.0602938722332,204.6247061277668,206.3425,0,13,4,3,0.53528357,0.5300177676025545,0.8911408
2020-03-24 10:00:00,2020-03-24 13:35:00,1,208.1,212.5,pivot,4.400000000000006,0.112618,4.287382000000005,135052.53300000017,1.0,2020-03-24,209.95,210.15,207.75,0.0,213.2,213.2,212.4,0.0,1.0,2020,78.83008356545966,1.802236123889997,1.2612379529362991,0.5409981709536984,1.921428571428572,308.29821428571427,1.0,204.5,203.3716666666667,211.46298484076328,197.53701515923672,204.5,1,10,1,3,0.617416,0.5880099889949812,0.89058125
2020-03-24 13:35:00,2020-03-24 15:20:00,1,212.5,218.4,pivot,5.900000000000006,0.112927,5.787073000000006,182292.79950000017,1.0,2020-03-24,213.2,213.2,212.4,0.0,219.7,219.75,218.0,0.0,1.0,2020,45.962732919254606,0.0454824452762068,0.0901775414968014,-0.0446950962205946,1.06785714285714,308.29821428571427,1.0,212.8375,210.84333333333333,215.05415347534063,210.62084652465936,212.8375,1,13,1,3,0.63517433,0.7126966405686354,0.88914
2020-03-24 15:20:00,2020-03-24 15:45:00,1,218.4,220.0,eod,1.5999999999999943,0.113152,1.4868479999999944,46835.71199999983,1.0,2020-03-24,219.7,219.75,218.0,0.0,220.0,220.0,220.0,0.0,1.0,2020,80.34682080924864,1.3553642003072357,0.8426957255810668,0.5126684747261687,0.9928571428571432,308.29821428571427,1.0,215.1725,213.87833333333336,218.85224183852853,211.49275816147144,215.1725,1,15,1,3,0.65265596,0.5697278595589895,0.8877609
2020-03-25 09:35:00,2020-03-25 10:20:00,1,225.3,225.9,pivot,0.5999999999999943,0.113536,0.4864639999999943,15323.61599999982,1.0,2020-03-25,224.15,225.4,224.1,0.0,226.6,226.65,225.35,0.0,1.0,2020,68.51311953352774,3.0301959309366,2.786431016232691,0.2437649147039087,2.3214285714285734,308.29821428571427,1.0,220.8625,215.99,230.3129733937924,211.4120266062076,220.8625,1,9,2,3,0.5040846,0.6642973235513516,0.8873014
2020-03-25 10:20:00,2020-03-25 12:00:00,1,225.9,228.3,pivot,2.4000000000000057,0.113626,2.2863740000000057,72020.78100000018,1.0,2020-03-25,226.6,226.65,225.35,0.0,228.0,228.45,227.75,0.0,1.0,2020,52.8957528957529,2.131183051045213,2.298966645940821,-0.1677835948956083,1.682142857142858,308.29821428571427,1.0,224.5975,217.5183333333333,229.48308297965352,219.71191702034648,224.5975,1,10,2,3,0.57688415,0.6368912760652379,0.88643587
2020-03-25 13:55:00,2020-03-25 15:15:00,1,225.35,231.2,pivot,5.849999999999994,0.1136965,5.736303499999995,180693.56024999983,1.0,2020-03-25,227.35,228.25,225.3,0.0,230.6,231.7,230.5,0.0,1.0,2020,46.49999999999991,-0.3754020919093079,-0.1254598078665083,-0.2499422840427996,1.1607142857142858,308.29821428571427,1.0,227.0875,226.8308333333333,229.7774178227681,224.3975821772319,227.0875,1,13,2,3,0.6359483,0.6293154647239465,0.88574785
2020-03-26 10:50:00,2020-03-26 11:35:00,1,229.5,229.85,pivot,0.3499999999999943,0.1137805,0.2362194999999943,7440.914249999821,1.0,2020-03-26,230.7,230.8,229.35,0.0,230.65,230.85,229.25,0.0,1.0,2020,39.805825242718406,-0.1614043374100333,0.0322242641939238,-0.1936286016039571,1.5642857142857147,308.29821428571427,1.0,231.3025,229.41416666666663,234.82960929779728,227.7753907022028,231.3025,1,10,3,3,0.63234794,0.5706325698385742,0.88614154
2020-03-26 11:35:00,2020-03-26 12:20:00,1,229.85,232.45,pivot,2.5999999999999943,0.113869,2.486130999999994,78313.12649999981,1.0,2020-03-26,230.65,230.85,229.25,0.0,231.8,232.8,231.7,0.0,1.0,2020,58.20895522388064,-0.2149895022247392,-0.2618321486097144,0.0468426463849751,1.30714285714286,308.29821428571427,1.0,229.79,229.64666666666665,231.3067832994596,228.27321670054044,229.79,1,11,3,3,0.6518378,0.6855917891028074,0.88645196
2020-03-27 11:15:00,2020-03-27 11:20:00,1,229.85,230.05,eod,0.200000000000017,0.113797,0.086203000000017,2715.394500000537,1.0,2020-03-27,229.6,230.2,228.8,0.0,230.05,230.05,229.15,0.0,1.0,2020,22.147651006711428,-0.8185352419405092,-0.3550247806938841,-0.463510461246625,1.1749999999999992,308.29821428571427,1.0,233.04,232.82333333333327,236.91754670116336,229.16245329883668,233.04,1,11,4,3,0.5756828,0.5814367663613738,0.8863508
2020-03-31 09:15:00,2020-03-31 11:35:00,1,234.15,235.6,pivot,1.4499999999999886,0.1140925,1.3359074999999887,42081.08624999965,1.0,2020-03-31,234.65,234.8,233.9,0.0,235.15,235.65,235.0,0.0,1.0,2020,55.6034482758621,0.8991363592135144,0.7718175052099193,0.1273188540035951,1.3000000000000012,308.29821428571427,1.0,232.7,229.85,235.38210443666344,230.0178955633365,232.7,1,9,1,3,0.5523398,0.6441505391001663,0.88616455
2020-04-01 09:05:00,2020-04-01 11:00:00,1,233.4,235.9,pivot,2.5,0.114079,2.385921,75156.51150000001,1.0,2020-04-01,234.3,234.35,233.2,0.0,235.3,235.95,235.0,0.0,1.0,2020,50.0,0.2293182845093326,0.3070408166305132,-0.0777225321211805,0.9000000000000016,308.29821428571427,1.0,234.7025,234.47916666666663,236.60387761657145,232.8011223834285,234.7025,1,9,2,4,0.5590671,0.6618290929199407,0.88587826
