n_trades,win_rate,total_pnl,avg_pnl,profit_factor,sharpe,cagr,mdd,mar,profit_loss_ratio,timeframes,bandwidth,window,n_cols
79,43.037974683544306,1262270.4254999966,15978.106651898692,1.2858440527381534,1.2742609392920916,8.587692577621775,1133712.3577500004,0.7574842524134753,1.7018524227416736,"(1, 5)",scott,3000,87
50,52.0,145648.4714999809,2912.9694299996177,1.0335655242991706,0.3654808896727972,1.1157248131956399,1420433.4217499997,0.07854819494609235,0.9540604839684651,"(1, 5)",scott,2000,87
22,54.54545454545454,1450900.5997499814,65950.02726136279,1.6403186302875372,2.4756790826801818,9.864594504392654,875573.8740000017,1.1266433132965585,1.366932191906281,"(1, 5)",0.3,3000,87
29,34.48275862068966,347224.9724999819,11973.274913792478,1.1128890419745312,0.564364135795325,2.4170976692879487,1116898.4137500022,0.2164115947817053,2.114489179751609,"(1, 5)",0.3,2000,87
33,42.42424242424242,-425392.20675001666,-12890.672931818686,0.8833221331226073,-0.5057577980519652,-3.280613075581218,1912832.44425001,-0.17150551191468796,1.1987943235235385,"(1, 5)",0.5,3000,87
24,58.333333333333336,1526749.3079999867,63614.554499999445,1.7062197315359275,2.779333791638848,10.348748523216699,729127.0034999996,1.4193341452915622,1.2187283796685198,"(1, 5)",0.5,2000,87
147,42.17687074829932,-2381829.8017499815,-16202.923821428445,0.6258090227937464,-2.8397663671903723,-17.12503456075275,2947184.7929999875,-0.5810641599884512,0.8579639828623942,"(1, 5, 15)",scott,3000,97
71,49.29577464788733,3351497.9084999934,47204.1958943661,1.9676386099838965,2.888901039833784,23.457257698881584,1245026.9002500027,1.8840763757129537,2.0238568559834365,"(1, 5, 15)",scott,2000,97
88,34.090909090909086,-1388901.181499999,-15782.967971590899,0.7553844506908344,-1.4280964447454467,-9.809467224189007,2065388.8499999996,-0.4749452977916971,1.4604099380022801,"(1, 5, 15)",0.3,3000,97
152,45.39473684210527,-4410722.2635000255,-29017.909628289643,0.5811619487188803,-2.5774222410423984,-34.56475864812718,5768909.8267500205,-0.599155814290126,0.6990788658502474,"(1, 5, 15)",0.3,2000,97
133,45.11278195488722,-3866876.4644999905,-29074.259131578874,0.5273852758667569,-3.178357716751394,-30.03167279520611,4724388.647999992,-0.6356732062659499,0.6416520856378874,"(1, 5, 15)",0.5,3000,97
197,42.63959390862944,-3106588.337999987,-15769.483949238513,0.7804623988113338,-1.2031755266010296,-23.034355384291384,4750342.222499992,-0.48489886213227285,1.0499077507819132,"(1, 5, 15)",0.5,2000,97
65,40.0,-1397124.949500015,-21494.229992307923,0.7993960806675341,-1.2436997687943954,-10.332291291186502,2868411.9554999964,-0.36020946263924863,1.199094121001301,"(1, 5, 15, 60)",scott,3000,107
40,40.0,-837897.243750004,-20947.4310937501,0.5952920796558483,-2.230847330042558,-5.873974938467185,1182546.760499999,-0.49672242440405306,0.8929381194837723,"(1, 5, 15, 60)",0.3,3000,107
339,44.54277286135693,-7302067.195500004,-21540.021225663728,0.6797169166542127,-2.290417955711416,-60.15681237699353,9707414.582249986,-0.6196996313208906,0.8462700684171656,"(1, 5, 15, 60)",0.3,2000,107
34,29.411764705882355,-1856486.7405000115,-54602.55119117681,0.26873854253327245,-5.5898335975909745,-13.361042559424074,1970131.716000013,-0.6781801668850442,0.6449725020798539,"(1, 5, 15, 60)",0.5,3000,107
65,40.0,-161753.8230000063,-2488.5203538462506,0.9572667719692992,-0.28267837156151343,-1.1345801575872172,781116.4934999943,-0.1452510818845263,1.435900157953949,"(1, 5, 15, 60)",0.5,2000,107
64,39.0625,-1860878.5964999883,-29076.228070312318,0.48688680322230327,-4.499413764999153,-13.465495612115886,2295327.2107499903,-0.5866481932968538,0.7595434130267932,"(5, 15)",scott,3000,87
22,59.09090909090909,195851.54925000388,8902.34314772745,1.534733937053562,2.44697099648854,5.152707299522552,275510.8597499989,1.870237457862157,1.0625081102678506,"(5, 15)",scott,2000,87
154,47.4025974025974,2553850.35675001,16583.443875000066,1.2063009825874358,1.5702345640545496,19.067903290107147,2125387.1677499935,0.8971496384017915,1.3384983505422232,"(5, 15)",0.3,3000,87
93,41.935483870967744,-3247920.0494999797,-34923.87149999978,0.594110969781929,-3.1102170862991447,-23.79008012200322,4903776.391499987,-0.4851379472204322,0.8226151889288248,"(5, 15)",0.3,2000,87
426,41.31455399061033,-5337896.823000034,-12530.274232394448,0.8142232164295498,-1.275719070070862,-40.95662997060888,7401839.807250034,-0.5533304021318084,1.1565670687919738,"(5, 15)",0.5,3000,87
57,45.614035087719294,-264730.88250000734,-4644.40144736855,0.9477681515633627,-0.5381530295680312,-1.9408361154291565,2592391.1895000003,-0.0748666375387385,1.13003125763324,"(5, 15)",0.5,2000,87
164,39.63414634146341,-485024.2897500062,-2957.465181402477,0.9329565632638959,-0.3396374806268164,-3.3745552755971686,2928309.4732500017,-0.1152390246462543,1.4209646117403951,"(5, 15, 60)",scott,3000,97
194,42.2680412371134,-2768350.299750016,-14269.846905927918,0.7129925337238505,-1.8403961949409229,-19.91718842482334,4140819.805500021,-0.48099626065274426,0.973843460695991,"(5, 15, 60)",0.3,3000,97
380,44.73684210526316,-3676413.9667499834,-9674.773596710482,0.8298903919147685,-1.5043539275729103,-29.289107038348128,6565230.535499972,-0.44612457826079416,1.0251587194241258,"(5, 15, 60)",0.3,2000,97
51,37.254901960784316,-165033.25650000427,-3235.9462058824365,0.8374229559772545,-1.0193727789809834,-1.2635256772933978,543012.2145000063,-0.2326882606971971,1.4103965574353758,"(5, 15, 60)",0.5,3000,97
170,41.76470588235294,-1062113.0625000112,-6247.72389705889,0.8810254643711396,-0.7215774976849271,-7.459907984826852,3456466.2562500164,-0.21582470163965214,1.2284721263766594,"(5, 15, 60)",0.5,2000,97
