iter	RMSE
0	64085.01856
1	63652.39632
2	63023.9996
3	62607.44726
4	62291.30819
5	61883.13664
6	61599.35267
7	61293.00216
8	60714.29886
9	60079.63858
10	59452.70972
11	59040.94272
12	58632.6012
13	58510.73499
14	58156.39788
15	57696.99771
16	57225.14673
17	57020.32932
18	56806.45757
19	56644.03597
20	56428.21079
21	56167.74136
22	55979.0297
23	55528.96251
24	55225.33764
25	54860.15914
26	54713.70879
27	54511.49232
28	54330.5104
29	54098.23425
30	53554.9214
31	53301.94143
32	52931.78558
33	52764.16884
34	52357.11622
35	52108.10108
36	51884.99126
37	51515.0485
38	51119.76088
39	50802.78806
40	50455.25885
41	50299.82833
42	50128.53031
43	49968.24937
44	49717.13644
45	49554.10688
46	49422.71614
47	49317.83821
48	49226.94818
49	49125.65538
50	48958.01973
51	48626.44221
52	48495.65341
53	48284.48864
54	48094.24718
55	47687.95403
56	47497.28683
57	47239.84372
58	46974.43405
59	46757.35883
60	46420.38677
61	46069.35853
62	45917.21862
63	45639.51023
64	45494.79578
65	45100.04211
66	44888.1325
67	44634.21017
68	44257.40657
69	44124.95626
70	43971.55218
71	43606.3862
72	43407.463
73	43172.43381
74	42936.31682
75	42875.71206
76	42702.87564
77	42596.69018
78	42495.32115
79	42304.29197
80	42095.36853
81	41882.05501
82	41636.54389
83	41379.1501
84	41178.89705
85	41002.73414
86	40860.99679
87	40633.34844
88	40458.08488
89	40222.86881
90	40112.11012
91	39966.99194
92	39839.04599
93	39752.30392
94	39485.12704
95	39267.83829
96	39233.97841
97	39085.11549
98	38874.1489
99	38741.26172
