iter	Passed	Remaining
0	1	124
1	2	105
2	3	99
3	3	94
4	4	93
5	5	91
6	6	89
7	7	87
8	8	86
9	9	84
10	10	82
11	11	81
12	11	79
13	12	75
14	13	74
15	14	74
16	14	72
17	15	72
18	16	71
19	17	70
20	18	69
21	19	68
22	20	67
23	21	66
24	22	66
25	22	64
26	23	63
27	24	62
28	25	61
29	26	61
30	27	60
31	28	59
32	28	58
33	29	57
34	30	57
35	31	56
36	32	55
37	33	54
38	34	54
39	35	53
40	36	52
41	37	51
42	38	50
43	39	50
44	40	49
45	41	48
46	42	47
47	42	46
48	43	45
49	44	44
50	45	44
51	46	43
52	47	42
53	48	41
54	49	40
55	50	39
56	51	38
57	52	38
58	53	37
59	54	36
60	55	35
61	56	34
62	57	33
63	58	32
64	58	31
65	59	30
66	60	29
67	61	29
68	62	28
69	63	27
70	64	26
71	65	25
72	66	24
73	67	23
74	68	22
75	69	21
76	70	21
77	71	20
78	72	19
79	73	18
80	74	17
81	74	16
82	75	15
83	76	14
84	77	13
85	78	12
86	78	11
87	79	10
88	80	9
89	81	9
90	82	8
91	82	7
92	83	6
93	84	5
94	85	4
95	85	3
96	86	2
97	87	1
98	88	0
99	88	0
